time,fcnt,curDeg,tgtDeg,Ea_motor_mWh,Ei_motor_mWh,E_logic_mWh,E_solar_mWh,LDR_E,LDR_W,Vm_motor,Im_motor,Vm_logic,Im_logic,Vm_solar,Im_solar
2025-07-29 13:07:26.134571783+00:00,311,43.8,47.6,0,0.028,12.22,9.18,34,94,0,0,4.74,31.11,4.35,25.44
2025-07-29 13:12:26.100458362+00:00,312,50.2,49.2,0.007,0.027,12.15,8.92,29,1018,5.05,39.39,4.74,30.94,4.35,24.76
2025-07-29 13:17:33.061957556+00:00,313,50.2,50.7,0,0.031,11.94,9.05,29,1020,0,0,4.74,30.4,4.35,25.11
2025-07-29 13:22:26.031659386+00:00,314,50.2,52.3,0,0.026,11.96,7.2,38,1020,0,0,4.75,30.39,4.34,20.07
2025-07-29 13:27:26.000495106+00:00,315,50.2,53.8,0,0.027,11.97,7.5,28,1020,0,0,4.76,30.38,4.34,20.86
2025-07-29 13:37:25.927414303+00:00,317,56.9,56.7,0,0.028,13.57,8.32,27,159,0,0,4.75,34.47,4.35,23.13
2025-07-29 13:52:25.832959228+00:00,320,56.9,60.8,0,0.028,13.6,10.79,25,74,0,0,4.76,34.52,4.36,29.83
2025-07-29 13:57:25.790822327+00:00,321,62.9,62.2,0.004,0.028,13.13,8.81,30,1020,5.05,28.93,4.76,33.44,4.35,24.55
2025-07-29 14:02:32.764069305+00:00,322,62.9,63.5,0,0.028,11.91,6.18,42,1020,0,0,4.76,30.31,4.34,17.29
2025-07-29 14:07:32.728413155+00:00,323,62.9,64.8,0,0.027,11.92,5.52,44,1020,0,0,4.76,30.28,4.33,15.42
2025-07-29 14:12:25.696551465+00:00,324,62.9,66,0,0.027,12.04,5.12,46,1020,0,0,4.76,30.33,4.33,14.15
2025-07-29 14:17:25.660443548+00:00,325,62.9,67.3,0,0.028,11.97,6.27,38,1020,0,0,4.76,30.21,4.34,17.38
2025-07-29 14:22:32.624933045+00:00,326,68.9,68.5,0.005,0.025,12.12,5.97,41,1020,5.06,27.4,4.76,30.55,4.33,16.51
2025-07-29 14:27:32.588272912+00:00,327,68.9,69.7,0,0.026,12.13,5.45,39,1020,0,0,4.75,30.64,4.33,15.11
2025-07-29 14:32:25.551782299+00:00,328,68.9,70.9,0,0.028,12.14,6.92,33,1019,0,0,4.75,30.7,4.34,19.17
2025-07-29 14:37:25.522813515+00:00,329,68.9,72.1,0,0.024,12.15,6.41,38,1019,0,0,4.75,30.73,4.34,17.8
2025-07-29 14:47:25.455461732+00:00,331,74.9,74.4,0.007,0.026,12.76,5.6,42,1019,5.06,36.94,4.74,32.27,4.33,15.5
2025-07-29 14:52:32.421765253+00:00,332,74.9,75.5,0,0.028,13.43,4.65,49,1019,0,0,4.73,34.04,4.33,12.87
2025-07-29 14:57:25.395945851+00:00,333,74.9,76.6,0,0.031,13.47,4.39,49,1020,0,0,4.73,34.12,4.33,12.13
2025-07-29 15:07:32.320429895+00:00,335,74.9,78.8,0,0.032,13.35,5.61,48,1019,0,0,4.72,33.97,4.33,15.57
2025-07-29 15:12:25.283722037+00:00,336,74.9,79.9,0,0.029,13.39,3.4,66,1019,0,0,4.72,34.06,4.32,9.44
2025-07-29 15:17:25.243460343+00:00,337,80.7,80.9,0.007,0.028,12.04,3.23,54,1020,5.06,34.27,4.72,30.64,4.32,9
2025-07-29 15:22:32.295286021+00:00,338,80.7,82,0,0.03,12.09,4.11,59,1020,0,0,4.73,30.69,4.32,11.38
2025-07-29 15:27:25.180544367+00:00,339,80.7,83,0,0.03,12.08,4.06,51,1019,0,0,4.73,30.65,4.32,11.27
2025-07-29 15:32:25.145036748+00:00,340,80.7,84.1,0,0.027,12.12,4.03,56,1019,0,0,4.73,30.75,4.32,11.19
2025-07-29 15:42:32.085502575+00:00,342,86.2,86.1,0.007,0.028,12.11,2.41,88,1019,5.05,35.88,4.74,30.74,4.31,6.74
2025-07-29 15:47:25.114600301+00:00,343,86.2,87.1,0,0.021,12.07,2.31,86,1020,0,0,4.74,30.65,4.31,6.48
2025-07-29 15:52:32.008814322+00:00,344,86.2,88.1,0,0.029,12.12,2.73,72,1019,0,0,4.74,30.73,4.32,7.62
2025-07-29 15:57:31.976561018+00:00,345,86.2,89.1,0,0.028,12.08,4.91,39,1019,0,0,4.74,30.62,4.33,13.64
2025-07-29 16:02:31.933442870+00:00,346,86.2,90,0,0.03,12.08,6.38,0,1019,0,0,4.74,30.65,4.34,17.74
2025-07-29 16:12:31.942904984+00:00,348,86.2,90,0,0.032,12.14,5.81,43,1020,0,0,4.74,30.79,4.33,16.12
2025-07-29 16:22:31.803709640+00:00,350,86.2,90,0,0.025,12.06,3.75,63,1020,0,0,4.74,30.6,4.32,10.4
2025-07-29 16:27:31.771203637+00:00,351,86.2,90,0,0.031,12.07,4.21,48,1020,0,0,4.74,30.63,4.32,11.68
2025-07-29 16:32:31.788865668+00:00,352,86.2,90,0,0.029,12.08,4.87,55,1020,0,0,4.74,30.63,4.33,13.49
2025-07-29 16:37:24.699343805+00:00,353,86.2,90,0,0.029,12.09,4.34,59,1020,0,0,4.74,30.66,4.32,12.02
2025-07-29 16:42:31.669097677+00:00,354,86.2,90,0,0.028,12.08,5.01,46,1020,0,0,4.74,30.66,4.33,13.88
2025-07-29 16:57:24.572362697+00:00,357,86.2,90,0,0.031,12.11,2.73,80,1018,0,0,4.73,30.7,4.32,7.58
2025-07-29 17:02:31.538221638+00:00,358,86.2,90,0,0.029,12.05,2.03,111,1020,0,0,4.73,30.6,4.31,5.66
2025-07-29 17:07:31.505294085+00:00,359,86.2,90,0,0.028,12.11,1.51,119,1019,0,0,4.73,30.69,4.31,4.19
2025-07-29 17:12:24.468484269+00:00,360,86.2,90,0,0.03,12.06,1.19,138,1018,0,0,4.73,30.62,4.31,3.33
2025-07-29 17:17:24.435025774+00:00,361,86.2,90,0,0.028,12.03,0.94,161,1019,0,0,4.73,30.57,4.3,2.63
2025-07-29 17:22:24.398668641+00:00,362,86.2,90,0,0.027,12.03,0.8,166,1020,0,0,4.72,30.64,4.3,2.26
2025-07-29 17:27:31.374632721+00:00,363,86.2,90,0,0.026,11.99,0.78,160,1020,0,0,4.7,30.62,4.3,2.19
2025-07-29 17:32:24.341164739+00:00,364,86.2,90,0,0.03,11.98,0.88,170,1019,0,0,4.7,30.62,4.3,2.45
2025-07-29 17:37:24.306257207+00:00,365,86.2,90,0,0.028,11.99,0.69,182,1020,0,0,4.69,30.62,4.3,1.93
2025-07-29 17:42:31.271623709+00:00,366,86.2,90,0,0.025,11.94,0.6,195,1020,0,0,4.69,30.56,4.28,1.66
2025-07-29 17:47:31.232705362+00:00,367,86.2,90,0,0.029,11.93,0.58,200,1019,0,0,4.7,30.52,4.26,1.61
2025-07-29 17:52:24.206502821+00:00,368,86.2,90,0,0.027,11.98,0.41,232,1019,0,0,4.69,30.6,3.76,1.34
2025-07-29 17:57:24.165719521+00:00,369,86.2,90,0,0.028,11.92,0.29,266,1019,0,0,4.69,30.52,3.64,1
2025-07-29 18:02:31.142721752+00:00,370,86.2,90,0,0.031,11.97,0.26,287,1019,0,0,4.68,30.69,3.64,0.86
2025-07-29 18:07:31.113358494+00:00,371,86.2,90,0,0.027,11.94,0.24,294,1022,0,0,4.68,30.58,3.64,0.79
2025-07-29 18:12:24.072706152+00:00,372,86.2,90,0,0.028,11.9,0.22,294,1020,0,0,4.68,30.52,3.64,0.76
2025-07-29 18:17:24.045577120+00:00,373,-90.2,-90,0.195,0.028,11.74,0.29,386,164,5.05,33.18,4.67,30.73,3.64,1.04
2025-07-29 18:22:31.006168037+00:00,374,-90.2,-90,0,0.031,11.9,0.31,372,154,0,0,4.67,30.76,3.64,1.1
2025-07-29 18:27:30.969466921+00:00,375,-90.2,-90,0,0.031,11.92,0.38,361,135,0,0,4.66,30.84,3.65,1.26
